300 30000 50000
0 1 1 597
0 64 127 967
0 83 53 351
0 131 16 516
0 48 1 747
0 105 158 170
0 233 243 903
0 156 345 807
0 44 500 153
0 36 172 348
0 48 1 765
0 66 448 632
0 170 494 68
0 75 1 596
0 50 181 455
0 136 1 652
0 227 385 36
0 38 93 894
0 288 397 773
0 249 193 1000
0 70 206 428
0 259 264 594
0 233 89 449
0 294 200 31
0 182 391 350
0 1 271 842
0 26 371 77
0 21 500 221
0 237 239 966
0 79 500 342
0 101 201 1000
0 2 314 769
0 142 482 537
0 145 193 377
0 273 263 336
0 230 73 348
0 152 498 360
0 86 227 72
0 205 191 428
0 231 247 325
0 248 344 476
0 196 500 183
0 115 142 1000
0 242 379 800
0 50 40 445
0 291 379 202
0 231 373 96
0 154 154 764
0 50 382 112
0 60 99 442
0 282 135 866
0 269 283 597
0 209 386 1
0 170 1 672
0 58 118 645
0 280 203 801
0 245 235 794
0 207 364 297
0 165 462 470
0 141 271 279
0 201 338 871
0 173 180 301
0 241 201 133
0 83 382 98
0 297 438 385
0 127 194 823
0 193 48 866
0 292 363 492
0 280 349 644
0 231 321 450
0 236 427 261
0 8 1 897
0 176 274 858
0 130 248 772
0 39 223 69
0 155 1 815
0 66 414 444
0 154 274 1
0 103 123 1000
0 37 299 943
0 275 158 523
0 214 500 292
0 220 302 226
0 38 238 1000
0 24 467 1
0 140 377 1
0 214 211 859
0 160 116 221
0 242 1 555
0 207 83 777
0 32 102 1000
0 212 115 229
0 173 449 472
0 277 461 627
0 159 391 584
0 272 450 524
0 152 73 1000
0 91 206 942
0 102 235 1000
0 290 418 614
0 20 354 241
0 269 333 153
0 291 388 1
0 246 174 141
1 2 10 187
1 162 56 655
1 174 288 733
1 190 416 744
1 145 356 1
1 244 124 158
1 13 500 430
1 152 76 821
1 177 349 222
1 24 385 174
1 122 426 68
1 265 85 844
1 144 500 243
1 187 213 771
1 187 470 396
1 184 434 204
1 219 492 75
1 236 298 756
1 221 473 298
1 65 1 780
1 298 139 618
1 274 155 654
1 296 1 821
1 15 378 672
1 172 188 453
1 91 500 352
1 106 371 561
1 134 215 735
1 29 237 478
1 188 38 831
1 205 292 685
1 184 497 479
1 157 71 614
1 135 500 293
1 220 335 160
1 143 500 271
1 73 284 1
1 275 456 68
1 277 172 971
1 152 1 902
1 168 376 703
1 239 485 595
1 9 237 366
1 29 402 212
1 50 403 425
1 180 41 534
1 146 178 734
1 275 500 253
1 282 432 382
1 259 347 1
1 129 169 780
1 154 79 523
1 243 161 646
1 20 392 674
1 233 330 330
1 243 94 702
1 119 313 849
1 76 178 524
1 247 346 86
1 214 360 1
1 162 179 1000
1 11 104 955
1 12 377 289
1 298 429 427
1 191 378 1
1 114 1 664
1 21 500 123
1 244 424 423
1 298 207 153
1 282 1 821
1 286 180 901
1 263 225 784
1 168 145 220
1 282 1 615
1 297 1 957
1 118 362 109
1 54 150 952
1 230 34 546
1 213 1 594
1 224 84 704
1 210 486 520
1 82 57 711
1 79 124 1000
1 124 234 803
1 280 46 353
1 95 500 480
1 164 64 483
1 289 500 558
1 36 418 1
1 177 479 617
1 23 1 688
1 49 81 878
1 3 148 687
1 0 232 902
1 17 500 329
1 7 380 831
2 3 4 287
2 260 206 974
2 223 375 830
2 246 241 928
2 222 500 325
2 178 229 929
2 61 115 750
2 283 244 1
2 173 189 32
2 37 388 319
2 274 467 227
2 64 190 1000
2 23 494 66
2 18 254 566
2 138 279 242
2 74 37 355
2 275 213 1000
2 50 243 298
2 69 178 137
2 45 366 159
2 157 152 1000
2 248 376 685
2 171 109 1000
2 102 145 142
2 64 182 296
2 173 500 151
2 227 135 201
2 220 136 1000
2 23 220 531
2 268 457 516
2 286 386 160
2 178 260 585
2 145 267 740
2 93 4 527
2 282 197 988
2 64 224 174
2 126 303 223
2 285 37 661
2 81 1 592
2 89 353 60
2 35 409 117
2 198 429 504
2 105 247 621
2 79 113 442
2 128 180 1000
2 63 151 927
2 79 231 1000
2 299 179 258
2 198 305 1
2 224 232 341
2 239 71 831
2 49 96 872
2 186 63 868
2 173 141 883
2 37 218 704
2 243 259 387
2 68 500 333
2 230 318 874
2 42 1 895
2 137 500 310
2 173 432 194
2 32 134 541
2 248 396 274
2 112 179 717
2 42 1 728
2 186 112 1000
2 106 246 726
2 291 1 412
2 228 110 616
2 194 398 755
2 15 342 512
2 237 462 156
2 7 362 1
2 10 164 234
2 20 33 756
2 252 185 237
2 225 339 521
2 187 104 1000
2 235 313 531
2 158 335 291
2 258 202 309
2 111 500 575
2 215 397 749
2 19 418 689
2 250 73 1000
2 83 1 973
2 94 201 833
2 194 500 472
2 97 217 109
2 4 280 1
2 135 1 430
2 98 183 581
2 242 314 645
2 228 163 1000
2 9 217 768
2 271 216 1000
2 74 141 1000
2 221 136 1000
3 4 2 605
3 229 129 360
3 195 90 788
3 282 222 339
3 220 500 467
3 51 224 496
3 104 456 401
3 103 490 126
3 277 105 1000
3 179 500 258
3 147 500 90
3 281 287 221
3 291 22 396
3 287 161 1000
3 206 202 309
3 263 139 1000
3 260 500 47
3 74 452 615
3 140 500 272
3 159 167 557
3 288 373 1
3 259 215 830
3 255 120 673
3 154 352 796
3 132 401 564
3 47 421 707
3 112 222 1000
3 249 110 983
3 219 161 779
3 100 166 190
3 144 16 996
3 268 1 719
3 262 246 217
3 258 428 739
3 121 167 1000
3 247 237 902
3 26 200 1000
3 295 500 117
3 263 24 967
3 105 154 295
3 149 1 871
3 274 252 238
3 64 337 763
3 282 15 923
3 200 296 155
3 68 72 432
3 292 180 424
3 257 324 59
3 111 163 1000
3 225 476 1
3 293 80 1000
3 227 463 524
3 70 240 388
3 52 500 320
3 261 160 921
3 96 500 484
3 180 500 329
3 79 500 307
3 90 296 538
3 166 500 299
3 165 389 1
3 48 198 749
3 67 265 625
3 202 486 153
3 171 108 1000
3 91 202 726
3 227 458 10
3 13 1 632
3 186 387 795
3 295 119 258
3 213 1 785
3 275 49 1000
3 257 54 721
3 291 133 512
3 72 193 1000
3 23 98 812
3 99 1 882
3 227 1 658
3 55 460 257
3 71 372 123
3 77 17 483
3 198 387 1
3 69 4 470
3 19 1 637
3 211 172 808
3 107 500 228
3 126 230 1000
3 117 4 511
3 182 77 785
3 23 330 1
3 190 283 851
3 39 500 427
3 15 488 22
3 68 230 1000
3 204 500 318
3 147 299 957
3 150 500 452
4 5 7 293
4 106 1 514
4 145 266 443
4 252 14 659
4 270 210 943
4 198 466 275
4 141 382 1
4 236 341 1
4 39 238 449
4 59 316 1
4 3 338 1
4 62 350 1
4 81 229 903
4 228 500 335
4 247 221 118
4 80 173 422
4 204 500 245
4 251 500 487
4 143 201 1000
4 123 2 521
4 75 171 384
4 59 43 414
4 67 289 1
4 110 280 197
4 107 90 647
4 267 398 146
4 161 349 55
4 168 298 36
4 239 317 1
4 94 139 1000
4 27 227 1
4 74 500 435
4 270 405 550
4 154 313 673
4 192 209 1
4 141 153 1000
4 87 257 719
4 51 285 1
4 110 86 1000
4 127 72 564
4 294 293 233
4 234 314 656
4 90 431 140
4 79 290 995
4 262 322 237
4 247 429 688
4 65 296 769
4 203 41 345
4 155 367 541
4 205 177 205
4 96 169 1000
4 156 500 200
4 164 500 336
4 130 148 1000
4 48 355 114
4 168 422 1
4 120 296 420
4 289 222 1000
4 196 301 120
4 252 59 1000
4 85 444 353
4 76 500 268
4 292 500 271
4 201 69 674
4 181 1 836
4 200 93 463
4 296 1 831
4 127 51 1000
4 288 468 213
4 127 144 1000
4 278 1 703
4 245 76 267
4 205 188 378
4 62 338 618
4 282 1 721
4 227 42 882
4 93 401 2
4 116 113 696
4 245 33 831
4 185 1 465
4 75 482 504
4 175 419 102
4 1 351 548
4 10 123 365
4 235 166 239
4 169 349 633
4 98 476 1
4 259 414 339
4 32 500 317
4 79 343 437
4 156 368 1
4 131 103 232
5 6 15 567
5 167 228 624
5 124 350 549
5 228 229 373
5 109 444 16
5 247 500 295
5 49 233 430
5 4 47 527
5 104 166 727
5 150 500 406
5 88 1 835
5 16 374 380
5 147 1 659
5 230 500 200
5 120 369 774
5 249 330 519
5 126 277 684
5 217 249 292
5 252 64 1000
5 287 500 336
5 200 110 455
5 141 91 1000
5 255 51 416
5 221 429 681
5 120 1 647
5 17 48 838
5 94 465 341
5 239 377 685
5 71 402 1
5 97 74 680
5 211 284 112
5 292 383 1
5 126 210 195
5 137 380 304
5 98 277 783
5 196 302 267
5 33 250 804
5 152 79 659
5 237 177 133
5 188 500 514
5 132 135 165
5 62 279 276
5 177 407 72
5 205 366 225
5 76 151 431
5 40 24 509
5 251 148 1000
5 85 500 237
5 205 21 926
5 252 211 1000
5 291 211 945
5 86 270 176
5 167 333 1
5 76 281 593
5 258 160 386
5 278 1 767
5 165 363 308
5 9 119 816
5 7 500 157
5 285 271 263
5 210 1 672
5 74 29 680
5 136 489 545
5 284 445 1
5 192 66 503
5 149 500 63
5 151 166 140
5 118 222 499
5 33 321 335
5 140 192 1000
5 299 368 160
5 176 1 848
5 252 125 377
5 11 87 433
5 211 225 497
5 264 313 52
5 200 348 540
5 71 192 183
5 30 112 1000
5 227 364 185
5 80 279 1000
5 215 142 414
5 169 246 4
5 115 36 374
5 83 283 659
5 175 385 443
5 272 1 608
5 169 239 837
5 299 294 833
5 32 284 1
5 129 153 868
5 66 174 1000
5 237 245 709
5 138 7 941
5 48 316 62
5 281 98 889
5 229 28 483
5 4 237 350
5 191 399 475
5 267 231 152
5 106 327 756
5 49 500 185
5 206 1 666
5 144 309 438
5 278 155 200
5 269 406 305
5 120 500 535
5 299 109 454
5 75 396 218
5 159 268 922
5 120 216 102
6 7 15 573
6 27 404 726
6 237 325 5
6 268 186 616
6 26 191 377
6 152 1 814
6 26 469 633
6 240 259 924
6 127 309 677
6 223 500 339
6 4 452 189
6 47 500 282
6 269 1 942
6 121 205 370
6 220 32 495
6 191 280 538
6 216 98 672
6 58 162 659
6 168 120 702
6 239 500 306
6 95 1 698
6 113 183 214
6 284 113 237
6 98 333 544
6 299 1 498
6 12 204 894
6 21 398 36
6 163 18 570
6 5 299 133
6 202 375 450
6 215 1 591
6 165 500 412
6 128 283 525
6 83 300 852
6 54 192 900
6 75 500 343
6 94 1 683
6 180 148 399
6 163 500 286
6 79 387 1
6 19 326 705
6 288 500 353
6 48 65 946
6 128 288 206
6 295 239 1000
6 236 309 425
6 58 49 508
6 148 309 118
6 184 166 768
6 226 334 155
6 194 1 944
6 240 366 1
6 97 425 95
6 174 165 1000
6 247 315 1
6 298 307 352
6 48 213 1
6 169 168 223
6 293 198 523
6 0 44 648
6 274 43 724
6 195 43 612
6 44 342 783
6 208 206 236
6 56 418 119
6 148 121 716
6 9 296 993
6 216 31 621
6 184 290 902
6 55 199 877
6 31 486 47
6 263 306 897
6 11 298 597
6 121 379 435
6 235 281 406
6 42 283 668
6 98 292 8
6 146 166 1000
6 67 275 378
6 277 340 392
6 234 156 432
6 88 67 433
6 184 239 902
6 59 122 778
6 85 2 479
6 182 265 273
6 188 238 1
6 248 47 317
6 89 456 269
6 100 244 1000
6 58 211 504
6 281 186 396
6 243 242 389
6 141 58 344
6 49 26 877
6 284 368 1
6 44 351 739
6 284 465 142
6 157 348 339
6 253 51 463
6 26 351 852
6 184 454 445
6 94 164 482
6 22 491 402
6 135 276 132
6 3 85 357
6 257 318 686
6 38 176 471
6 55 174 569
6 104 420 1
6 84 156 1000
7 8 4 233
7 135 455 1
7 177 131 812
7 276 500 258
7 200 172 1000
7 105 124 835
7 55 230 287
7 253 130 863
7 202 269 927
7 66 17 592
7 273 237 977
7 34 1 821
7 260 261 322
7 161 82 629
7 280 69 857
7 258 315 433
7 61 99 1000
7 193 1 838
7 8 1 727
7 234 41 380
7 9 454 314
7 155 1 857
7 108 342 1
7 205 10 584
7 173 309 284
7 160 458 381
7 122 135 626
7 278 360 26
7 207 473 372
7 145 500 483
7 52 140 1000
7 84 211 901
7 111 138 1000
7 83 285 1
7 212 500 364
7 136 367 76
7 152 170 548
7 13 8 808
7 100 237 362
7 46 415 499
7 4 1 484
7 252 185 1000
7 270 500 72
7 16 77 388
7 128 160 937
7 43 163 919
7 76 398 774
7 81 4 763
7 232 124 521
7 105 482 550
7 143 194 396
7 210 413 1
7 186 28 483
7 110 121 258
7 248 490 87
7 236 40 448
7 292 500 333
7 41 21 587
7 98 300 962
7 19 425 110
7 298 376 1
7 57 278 186
7 231 140 169
7 51 1 636
7 100 145 462
7 32 112 352
7 205 124 755
7 73 346 905
7 14 107 829
7 219 1 601
7 153 1 681
7 130 359 759
7 136 259 500
7 233 41 980
7 30 377 609
7 102 149 469
7 209 352 1
7 80 82 612
7 152 175 901
7 79 367 605
7 281 208 993
7 60 215 1000
7 280 221 746
7 161 186 805
7 44 329 1
7 133 425 213
7 109 57 466
7 265 159 896
7 194 100 655
7 184 472 467
7 40 500 361
7 32 88 588
7 286 284 774
7 293 207 534
7 186 86 862
7 190 127 483
7 94 1 935
7 217 244 1000
7 47 52 684
7 5 377 344
7 94 213 101
7 158 310 191
7 245 163 1000
7 39 500 192
7 193 122 1000
7 40 259 1000
7 134 271 742
7 141 327 398
8 9 14 578
8 190 425 513
8 60 1 949
8 263 30 738
8 125 371 356
8 28 154 745
8 47 476 646
8 81 500 244
8 61 500 411
8 183 237 1000
8 109 176 931
8 203 329 1
8 187 427 502
8 109 1 896
8 77 247 420
8 69 383 745
8 172 1 830
8 230 340 256
8 133 222 925
8 182 69 477
8 49 1 585
8 68 367 481
8 148 318 40
8 0 217 492
8 134 413 334
8 31 1 587
