20 60 50
0 1 3 7
0 2 5 10
0 3 2 4
0 4 4 8
1 5 3 6
1 6 2 5
1 7 4 9
2 5 2 4
2 6 3 7
2 8 5 11
3 6 4 8
3 7 3 6
3 9 2 5
4 7 5 10
4 8 3 7
4 9 4 9
5 10 3 6
5 11 2 5
6 10 4 8
6 11 3 7
6 12 2 4
7 11 3 6
7 12 4 9
7 13 2 5
8 12 3 7
8 13 4 8
8 14 2 5
9 13 3 6
9 14 4 9
9 15 2 4
10 16 3 7
10 17 4 8
11 16 2 5
11 17 3 6
11 18 4 9
12 17 3 7
12 18 2 5
12 19 4 10
13 17 4 8
13 18 3 6
13 19 2 5
14 18 3 7
14 19 4 9
15 18 2 4
15 19 3 7
16 19 4 8
17 19 3 6
18 19 2 5
5 12 6 12
6 13 5 11
7 14 4 9
8 15 3 7
10 18 5 10
11 19 4 8
3 10 7 14
4 11 6 12
2 9 5 10
1 8 4 8
0 5 8 15
4 15 6 11
